x,y,z_reported,z_down,z_up,bias,down_spread,up_spread,reps,freq
100.000,62.500,0.084882,0.075384,0.094381,0.018996,0.000000,0.000000,1,214.00
60.000,62.500,0.039526,0.074212,0.004840,-0.069373,0.000000,0.000000,1,214.00
60.000,62.500,-0.022302,0.075747,-0.120351,-0.196098,0.000000,0.000000,1,214.00
60.106,61.707,-0.066927,-0.027914,-0.105939,-0.078025,0.000000,0.000000,1,214.00
60.106,61.707,0.085307,0.081159,0.089455,0.008296,0.000000,0.000000,1,214.00
60.634,62.988,0.084139,0.078469,0.089810,0.011341,0.000000,0.000000,1,214.00
60.634,62.988,0.049049,0.078634,0.019464,-0.059170,0.000000,0.000000,1,214.00
59.260,62.805,0.052962,0.079636,0.026287,-0.053349,0.000000,0.000000,1,214.00
59.260,62.805,-0.019274,0.074633,-0.113182,-0.187814,0.000000,0.000000,1,214.00
20.000,25.000,0.063609,0.067728,0.059489,-0.008240,0.000000,0.000000,1,214.00
20.000,25.000,0.065678,0.066814,0.064541,-0.002273,0.000000,0.000000,1,214.00
60.000,25.000,0.098405,0.097656,0.099153,0.001497,0.000000,0.000000,1,214.00
60.000,25.000,0.097921,0.097552,0.098291,0.000739,0.000000,0.000000,1,214.00
100.000,25.000,0.095766,0.092830,0.098701,0.005871,0.000000,0.000000,1,214.00
100.000,25.000,0.097659,0.093404,0.101915,0.008511,0.000000,0.000000,1,214.00
100.000,62.500,0.086151,0.075796,0.096506,0.020710,0.000000,0.000000,1,214.00
100.000,62.500,0.084879,0.073802,0.095957,0.022155,0.000000,0.000000,1,214.00
60.000,62.500,0.083970,0.073962,0.093979,0.020017,0.000000,0.000000,1,214.00
60.000,62.500,0.022596,0.039859,0.005332,-0.034527,0.000000,0.000000,1,214.00
59.288,62.136,0.090738,0.088680,0.092796,0.004116,0.000000,0.000000,1,214.00
59.288,62.136,0.091273,0.085435,0.097111,0.011676,0.000000,0.000000,1,214.00
20.000,62.500,0.109632,0.106944,0.112320,0.005376,0.000000,0.000000,1,214.00
20.000,62.500,0.105836,0.103886,0.107785,0.003899,0.000000,0.000000,1,214.00
20.000,100.000,0.088154,0.081456,0.094852,0.013396,0.000000,0.000000,1,214.00
20.000,100.000,0.087107,0.076619,0.097595,0.020976,0.000000,0.000000,1,214.00
60.000,100.000,0.092075,0.085885,0.098264,0.012378,0.000000,0.000000,1,214.00
60.000,100.000,0.088714,0.079692,0.097735,0.018043,0.000000,0.000000,1,214.00
100.000,100.000,0.042761,0.014188,0.071333,0.057145,0.000000,0.000000,1,214.00
100.000,100.000,0.051690,0.031760,0.071619,0.039859,0.000000,0.000000,1,214.00
60.000,60.000,0.085761,0.085116,0.086406,0.001289,0.000000,0.000000,1,214.00
60.000,60.000,0.079194,0.075021,0.083367,0.008346,0.000000,0.000000,1,214.00
60.000,60.000,0.079506,0.074846,0.084166,0.009321,0.000000,0.000000,1,214.00
60.000,60.000,0.082132,0.073880,0.090383,0.016503,0.000000,0.000000,1,214.00
60.000,60.000,0.078778,0.073341,0.084215,0.010874,0.000000,0.000000,1,214.00
60.000,60.000,0.081402,0.073808,0.088996,0.015189,0.000000,0.000000,1,214.00
60.000,60.000,0.077506,0.072024,0.082988,0.010964,0.000000,0.000000,1,214.00
60.000,60.000,0.083057,0.075336,0.090778,0.015442,0.000000,0.000000,1,214.00
60.000,60.000,0.082239,0.077333,0.087145,0.009812,0.000000,0.000000,1,214.00
60.000,60.000,0.079297,0.075782,0.082812,0.007030,0.000000,0.000000,1,214.00
60.000,60.000,0.083746,0.077827,0.089665,0.011838,0.000000,0.000000,1,214.00
60.000,60.000,0.082936,0.076906,0.088965,0.012059,0.000000,0.000000,1,214.00
60.000,60.000,0.081317,0.077570,0.085065,0.007495,0.000000,0.000000,1,214.00
60.000,60.000,0.080462,0.076858,0.084067,0.007209,0.000000,0.000000,1,214.00
60.000,60.000,0.082389,0.076274,0.088504,0.012230,0.000000,0.000000,1,214.00
60.000,60.000,0.086076,0.079277,0.092875,0.013597,0.000000,0.000000,1,214.00
60.000,60.000,0.085776,0.079226,0.092326,0.013100,0.000000,0.000000,1,214.00
60.000,60.000,0.086817,0.081565,0.092070,0.010506,0.000000,0.000000,1,214.00
60.000,60.000,0.086442,0.079466,0.093419,0.013952,0.000000,0.000000,1,214.00
60.000,60.000,0.087454,0.081482,0.093427,0.011945,0.000000,0.000000,1,214.00
60.000,60.000,0.090152,0.082443,0.097861,0.015418,0.000000,0.000000,1,214.00
60.000,60.000,0.089460,0.081908,0.097011,0.015104,0.000000,0.000000,1,214.00
60.000,60.000,0.090334,0.082922,0.097746,0.014824,0.000000,0.000000,1,214.00
60.000,60.000,0.091859,0.084290,0.099428,0.015138,0.000000,0.000000,1,214.00
60.000,60.000,0.087424,0.082386,0.092463,0.010077,0.000000,0.000000,1,214.00
60.000,60.000,0.085425,0.081265,0.089585,0.008319,0.000000,0.000000,1,214.00
60.000,60.000,0.090165,0.084190,0.096141,0.011951,0.000000,0.000000,1,214.00
60.000,60.000,0.088151,0.084458,0.091844,0.007386,0.000000,0.000000,1,214.00
60.000,60.000,0.090055,0.084112,0.095999,0.011887,0.000000,0.000000,1,214.00
60.000,60.000,0.086447,0.082310,0.090584,0.008274,0.000000,0.000000,1,214.00
60.000,60.000,0.087226,0.081800,0.092652,0.010852,0.000000,0.000000,1,214.00
60.000,60.000,0.091704,0.084265,0.099144,0.014879,0.000000,0.000000,1,214.00
60.000,60.000,0.088114,0.082442,0.093786,0.011344,0.000000,0.000000,1,214.00
60.000,60.000,0.087871,0.082500,0.093243,0.010743,0.000000,0.000000,1,214.00
60.000,60.000,0.088123,0.083414,0.092833,0.009419,0.000000,0.000000,1,214.00
60.000,60.000,0.088625,0.084566,0.092684,0.008118,0.000000,0.000000,1,214.00
60.000,60.000,0.089145,0.084697,0.093594,0.008897,0.000000,0.000000,1,214.00
60.000,60.000,0.090997,0.084116,0.097877,0.013761,0.000000,0.000000,1,214.00
60.000,60.000,0.091160,0.084623,0.097697,0.013074,0.000000,0.000000,1,214.00
60.000,60.000,0.089414,0.084801,0.094027,0.009226,0.000000,0.000000,1,214.00
60.000,60.000,0.082844,0.084210,0.081478,-0.002732,0.000000,0.000000,1,214.00
60.000,60.000,0.078723,0.072211,0.085234,0.013023,0.000000,0.000000,1,214.00
60.000,60.000,0.078028,0.071067,0.084990,0.013923,0.000000,0.000000,1,214.00
60.000,60.000,0.078910,0.072303,0.085517,0.013214,0.000000,0.000000,1,214.00
60.000,60.000,0.073773,0.068721,0.078825,0.010105,0.000000,0.000000,1,214.00
60.000,60.000,0.079183,0.070763,0.087602,0.016839,0.000000,0.000000,1,214.00
60.000,60.000,0.076440,0.070752,0.082128,0.011376,0.000000,0.000000,1,214.00
60.000,60.000,0.076693,0.070336,0.083050,0.012714,0.000000,0.000000,1,214.00
60.000,60.000,0.077169,0.070981,0.083356,0.012375,0.000000,0.000000,1,214.00
60.000,60.000,0.079492,0.071165,0.087819,0.016654,0.000000,0.000000,1,214.00
60.000,60.000,0.081220,0.072480,0.089961,0.017481,0.000000,0.000000,1,214.00
60.000,60.000,0.081691,0.073376,0.090005,0.016629,0.000000,0.000000,1,214.00
60.000,60.000,0.080849,0.074126,0.087572,0.013446,0.000000,0.000000,1,214.00
60.000,60.000,0.079601,0.066853,0.092348,0.025494,0.000000,0.000000,1,214.00
60.000,60.000,0.079235,0.071792,0.086679,0.014887,0.000000,0.000000,1,214.00
60.000,60.000,0.082831,0.075641,0.090021,0.014380,0.000000,0.000000,1,214.00
60.000,60.000,0.081294,0.073646,0.088942,0.015296,0.000000,0.000000,1,214.00
60.000,60.000,0.084881,0.074549,0.095213,0.020664,0.000000,0.000000,1,214.00
60.000,60.000,0.081493,0.072620,0.090367,0.017747,0.000000,0.000000,1,214.00
60.000,60.000,0.082813,0.073278,0.092349,0.019071,0.000000,0.000000,1,214.00
